,0
480,"Обратился с заменой карт дебетовой и кредитной, назначили встречу и представитель потерялся!!! позвонила женщина и сказала ""мне нужно в стоматологию давайте сейчас или я не смогу"" я говорю давайте тогда завтра она же сообщила мне что завтра у..."
481,Обратился 13:51 в Онлайн-чат на закрытие ИП счёта
482,"Еще 14 ноября 2020 года я отправил почтой исполнительный лист в ВТБ, поскольку из-за пандемии принимают только почтой"
483,Неоднократно делал обращения по поводу ошибки в новом интерфейсе личного кабинета
484,Доброго дня! Являюсь клиентом Банка Восточный
485,"Спасибо профессиональным операторам, которые помогают в вопросах оплаты услуг, в частности с использованием бонусов, так как это бонусы, я не понимал, в каких пропорциях они используются, но оператор сразу же подтвердил мои догадки"
486,"20.09.2021 оставил заявку на карту МИР = тарифный план:""Почётный Пенсионер."" ( операционист банка заверила , что НЕименных МИР в их офисе клиентам НЕ выдают)"
487,12.10.2021 г
488,25.10.2022 г
489,"Приехал сегодня получить денежный перевод (система платежей контакт)изначально про гуглил что банк выдает и принимает платежи через эту систему,взял талон быстрые платежи (western winion,контакт,Россельхоз банк экспресс)сидел минут 40 хотя в..."
490,"Застрял за рубежом волею кинувшего меня там Аэрофлота, с банковскими картами понятно что стало, и - с 23го, кажется, марта пытаюсь отправить себе же денег на свой же зарубежный счёт"
491,"Добрый день! Вынужден сюда написать, так как на мои обращения с октября 2021 ничего не изменилось в отражении страховок в онлайн банке сбербанка"
492,В конце августа я досрочно закрыла ипотеку и оставила заявку на получение закладной
493,Позвонил в контакт-центр банка
494,04.05.2022 Было вынесено определение арбитражным судом о признании меня банкротом
495,"Обращался не один раз (с декабря 2021) в мобильном приложении через раздел ""Помощь"""
496,"Звонки на горячую линию банков занимают не мало времени и все благодаря роботам, которые сначала пол часа предлагают выбрать из того, что нам не нужно, а потом подождать оператора, который ещё пол часа будет выходить на связь и разбираться в..."
497,В мае 2022 г
498,Являюсь клиентом банка уже более двух лет
499,"Случилась мне необходимость актуализировать свои данные в банке, а именно изменить фамилию"
500,"Здравствуйте ,хочу сказать""спасибо""и выразить благодарность банку ""Точка"" и в частности оператору Анне за подход, включенность в клиента, помощь и решение периодически возникающих вопросов"
501,Не могу получить свои деньги по аккредитиву № ******* на протяжении 10 дней уже
502,"Об обеих проблемах Банку давно известно, судя по ответам представителя Банка в местном форуме, но воз и ныне там"
503,Добрый день! 24 мая мне поступил запрос в рамках 115 ФЗ
504,"Когда стала пользоваться дебетовой картой ""Tinkoff Black"", понадобилась услуга перевода средств по номеру телефона"
505,"Здравствуйте, являюсь клиентом Сбербанка, последнее время мне постоянно звонят с номера 900"
506,Пользуюсь мобильным приложением банка ежедневно
507,Уважаемые коллеги из Сбербанк
508,08.05.2022 17:56 я уже размещала свой отзыв по поводу дикости Альфа-Банка в отношении персональных данных
509,Опять Альфа-банк косячит
510,В декабре 2018 г
511,Мне понадобилась справка об остатке основного долга по ипотеке
512,Являюсь клиентом Банка не первый год
513,"Здравствуйте, хочу оставить отзыв о данном банке"
514,По-настоящему довольна обслуживанием в банке
515,Ещё раз убеждаюсь как безобразно работает Сбербанк
516,"Добрый вечер 15.10.2021 обратилась в отделение банка ВТБ с исполнительным листом и соответствующим заявлением о перечислении денежных средств с расчетного счета должника по ИЛ серии ФС № 03****54, выданному Красногорским городским судом Московской..."
517,"Оплатил ипотечное страхование в СОГАЗ 11.02.22 сразу же отправил фото квитанции об оплате на почту 1233@vtb.ru, пришло, автоматическое сообщение, что ""Статус продления договора страхования обновится в ВТБ Онлайн в разделе «Страхование» до конца..."
518,"Погасили ипотеку по договору 623/*****-**2702 досрочно 27.09.2022 ,в чате,по звонку ,в моб.приложении писали сотрудники ,что снятие обременения проводится автоматически в течение 15 рабочих дней, сегодня 14рабочий день,до сих пор не переданы даже..."
519,"Хотел взять кредит наличными через приложение, без страховки ,под 15,9 %, и вот приложение зависло и выдало ошибку,что не могут оформить кредит,пробывал дважды,но потом зашёл в приложение и увидел на счету дееьги и оформленный кредит со страховкой..."
520,"Пользуюсь большинством продуктов экосистемы Тинькофф на протяжении почти 15 лет,  всегда был доволен обслуживанием, но последнее время обратил внимание на снижение уровня сервиса"
521,"Ужасный сервис! Сначала заманивают условиями и было все отлично, но потом началось то, чего не должно быть у банка с первоклассным сервисом (тем более с премиум подпиской): начались введение ограничений, потом введение комиссий"
522,"просто ПОМОГИТЕ.невозможно перевести деньги со счета Копилка на карту Халва.-не говоря уже о переводе на карты других банков.Ушла из магазина ,не сумев оплатить покупку!виснет приложение уже больше часа.приложение выдает ""Ошибка подключения к..."
523,По сути вопроса
524,Здравствуйте!Платеж ЖКУ Москва от 19.09.2021 на сумму 2869.28 руб
525,"Написала 5 дней назад о комиссии, которую с меня удержали за пользование заемными средствами карты Халва не у партнеров банка и, честно говоря, не думала что станут разбираться с этим вопросом и уж тем более вернут удержанную комиссию"
526,"Я давний зарплатный клиент, раньше в целом банк устраивал, проблемы если были - решались через Народный рейтинг"
527,"Имея желание произвести полное досрочное погашение ипотечного договора 05.07.2022, 04.07.2022 в приложении банка мне не удалось этого сделать, выдавало ошибку, в связи с чем я обратилась в чат банка, где мне сообщили о технической ошибке, и было..."
528,"В первых числах марта получила альфа карту, при этом мне зачем-то открыли брокерские счета, которые я открывать точно не просила"
529,"Стояла рядом с окном сотрудника почта банка (просто в очереди) сотрудница общалась с коллегой и сообщала, что «приходила противная бабка, хочется вообще всех на*ер послать» считаю, что подобные выражения как в вообще, так и в присутствии клиентов..."
530,Добрый день! Хотела бы рассказать о своём посещении отделения Россельхозбанка в городе Волгодонске
531,"Обращалась в чат поддержки банка Тинькоф, операторы быстро ответили на мои вопросы, потом "
532,"Ребята из Альфа банка какое-то время начинали меня радовать: запустили крупномасштабную акцию по привлечению клиентов, но для того, чтобы эти клиенты оставались - они ничего не сделали, а даже наоборот"
533,"Здравствуйте !!! Сегодня, мне позвонили, из Московского Коммерческого Банка, с телефона, +79*****1124, с предложением, потребительского кредита и не дослушав, мой ответ, БРОСИЛИ ТРУБКУ !!! Я конечно, всё понимаю, но с таким отношением, к..."
534,Я веду свое дело с 2012 года
535,"Я много читаю отзывов  о работе Совкомбанка,разные есть.."
536,"Приехали с сыном в Москву с Дальнего Востока на 3 дня, Пушкинская карта не работает, на горячей линии говорят мы не знаем почему не работает, ждите 4 рабочих дня"
537,"9 марта 2022 года просто так заблокировали зарплатную карту, которую оформляли через моего работодателя"
538,"Добрый день! Никогда не писала негативные отзывы на этом сайте, но ситуация складывается так, что больше написать больше некуда"
539,В феврале 2021 г
540,"В декабре 2021 года я поменяла сим-карту и спросила в личных сообщениях ПБ: ""Здравствуйте, собираюсь заменить сим-карту у оператора (поменяю микро-сим на нано-сим и вставлю в другой телефон)"
541,"В конце августа воспользовался предложением банка Русский стандарт об открытии Кредитной карты Мир Кредитная+, чтобы немного сэкономить на подготовке детей к школе, т.к"
542,"Обратившись в чат Сбербанка, надеялась получить полную консультацию о интересующей меня информации, а именно о возврате средств и изменении паспортных данных"
543,"В данном банке имеется карта кредитная, при оплате с которой можно получить вознаграждение! Вроде все хорошо, бонусы начисляются, НО эти бонусы в целом не возможно потратить!!! Часть бонусов ранее смогла потратить через приложение..."
544,"Обратилась 16.10.2022 в онлайн-чат в виду невозможности активации акции партнера банка из-за того, что приложение на мобильном устройстве устарело"
545,14.12.2021года мной проводилась операция внесения денежных средств на карту  в сумме 500 000 руб
546,"Через мобильное приложение заказал 15 октября перевыпуск дебетовой карты, до сих пор (26 октября) не получил"
547,"Я постоянный клиент Райффайзен банка, все устраивало, пользуюсь картами и кредитами"
548,"Хочу поставить заслуженную оценку 5 и поблагодарить сотрудников Банка за обслуживание, которому нет равных"
549,Давно не оставлял отзыв о “Таврическом”
550,Со Сбербанком работаем уже не первый год
551,"Здравствуйте, я занимаюсь покупкой криптовалюты на бирже и как осознанный гражданин, 14.05 (даты очень важны) самостоятельно обратился в банк, с целью выяснить, требуется ли мне обосновать свои переводы, так как совсем недавно начал работать"
552,Банковские услуги давно и прочно вошли в жизнь каждого обывателя
553,"В наше непростое время стало уже привычным видеть камни в огород банка, а я хочу поблагодарить и банк, и ПБ, в частности"
554,Невозможно обновить паспортные данные (после смены паспорта) в интерфейсе системы
555,"Всем доброго времени суток, хотел бы поведать вам свою историю с Тинькофф"
556,Сайт и приложение не работает
557,"Совершал перевод с одной карты другого банка на свою же карту ВТБ, но ошибся в реквизитах, платеж ушел другому клиенту ВТБ"
558,Хочу выразить свою благодарность менеджеру Абсолют банка в Выборге С-ко Анастасии за хорошее обслуживание
559,"Ранее обращался в Колл Центр этого банка, обращение №211118-0352-436400 от 18/11/2011 по поводу того, что мои счета открываются в другом населённом пункте, а именно в г"
560,"Как я понимаю заблокировали накопительный счёт из-за ИД, кроме номера и даты не дают информацию, ни по горячей линии, ни в офисе"
561,"Привет всем тем,кто читает этот отзыв,не знаю,что вы ищете и зачем пришли на сайт,но возможно именно я и мой отзыв вам помогут"
562,Этот банк - недоразумение
563,"Сделка вторые сутки как зарегистрирована в Росреестре, деньги с номинального счета на счет продавца до сих пор не ушли"
564,"24.02.2022  пополнение было карты HOME CREDIT, в банкомате промсвязь банка, деньги так и не поступили и ответа на обращение нет, ответ  обещали дать до 02.03.2022,но теперь его продлевают..."
565,Я продолжаю писать жалобы на всех сайтах
566,"Хочу оставить отзыв на ""прекрасный"" банк! В сентябре подключил сберпрайм+ и тут началось."
567,Произошла в июне месяце со мной курьезная история в Альфе
568,28.03 я обратился в отделении банка на Добролюбова 16/2 для смены мобильного телефона
569,Был клиентом Альфа банка уже лет десять
570,Добрый день! Я являюсь клиентом МТС-банка
571,"Банк скатился ниже некуда, до 2022 года оперативно реагировали на обращения"
572,"Альфа-Банк не возвращает доллары с дебетовой карты - в банкоматах их никогда нет, а в офисе требуют ждать 20 дней и заплатить комиссию более 5тр, хотя это незаконно - ЦБ РФ запретил банкам брать комиссию за выдачу наличной валюты физлицам"
573,Ужасный банк и с каждым годом всё хуже и хуже
574,30.04.2022г обратился в отделение г
575,Магазин-партнер карты Халва провел транзакцию через свою транспортную доставку а не через магазин
576,Не смог сделать покупку в приложении - написал в поддержку - вежливо ответили и подсказали решение вопроса
577,"Добрый время суток, пользователи и представители ресурса banki.ru"
578,"При переводе с Альфа банка на карту другого банка мне заблокировали вообще все!!! (Карты, вход в мобильное приложение, интернет - банкинг с формулировкой ""подозрение на мошеннечиские действия"", хотя я стабильно перевожу или принимаю ден"
579,"В сентябре завёл карту 100 дней без процентов, ранее клиентом альфы не был"
580,Являюсь клиентом банка уже 4 года/ Всегда писала только восторженные отзывы
581,"Несколько раз обращалась в поддержку клиентов банка в соцсети ""Вконтакте"""
582,"Добрый день! Уже достаточно давно пользуюсь программой лояльности Урожай, но ранее бронировал только авиабилеты"
583,"Тинькофф когда-то стал для меня первым Банком, мне было 18 и я хотела новый телефончик, и этот ""чудесный"" Банк первый кто оказал мне услугу кредитования под ставку 99% на 10 месяцев, на тот момент мне повезло, так как через пару дней (конец 2013..."
584,Дело было так
585,Оплатила заказ лекарств в СберЕАптеке через Сберпей
586,https://sun9-east.userapi.com/sun9-20/s/v1/ig2/PqFaGPF63qhGKLI_2L7YQK9vob2F1N98TbXdhsVYiZUhLYk1DqaMH2NKJngXByPcd1PU-4AoZ99SLasAdrvOjetx.jpg?size=513x600&quality=96&type=album.jpg Потребовалась карта мир для бюджетных выплат и для стабильного...
587,"Сотрудница Ирина очень помогла (24.08.2022)! Я обратилась в чат поддержки из-за проблем с моим номером телефона, к которому был привязан мобильный банк"
588,"Согласно указаниям ЦБ 5440, банк обязан предоставить по запросу клиента справку о доходах для госслужащих в течение 5 рабочих дней с момента обращения"
589,Всем привет
590,"Многие люди до сих пор считают, что сбер банк надёжный банк с квалифицированными сотрудниками, может когда-то это и соответствовало действительности, но не сейчас"
591,"В селе Яркое Поле Кировского района с населением около 5000 человек(или более) всего ОДИН БАНКОМАТ, ограниченный по дням и часам работы, находится в помещении ПОЧТЫ, с выходными днями -воскресенье и понедельник, время работы с 7-00 до 16-00,с 12 до..."
592,Являюсь одним из старейших клиентов банка с 2010 года
593,Открыл 11 октября 2021г
594,Принесла вчера в пункт приема документации исполнительный лист от суда ко ВЗЫСКАНИЮ
595,"Видимо сотрудники банка скучают в отделении, раз предлагают даже приготовить кофе или чай при заурядном визите случайному посетителю"
596,"Ак Барс банк, ссылаясь на отсутствие технической возможности, не выдаёт денежные средства в валюте с валютных вкладов (доллары сша, сумма меньше 10 тыс.$)"
597,"В СОВКОМБАНКЕ есть бонусами программа, где проходишь урони"
598,"Добрый день!  Не являюсь клиентом Альфа-Банка, но все же услугами банкомата пришлось воспользоваться"
599,25 января лично в офисе подала заявление на закрытие Иис
600,"Ну что я могу сказать о худшем банке из всех возможных в России? Ну только то, что я, спокойный флегматичный человек их просто уже терпеть не могу"
601,ВТБ банк очень долго рассматривает заявки
602,Хочу оставить отзыв об отвратительной работе приложения и техподдержки ХКБ
603,Обращался  с сотрудником совком банка 
604,Добрый день! Уже на протяжении нескольких лет пополнял карту всем известного желтого банка стягивая деньги с зарплатной карты Альфы
605,Очень удобный в обслуживании
606,Звонят на домашний телефон +7 (821**) ***63
607,"Сегодня по невнимательности снял с карты халва заёмные средства через банкомат стороннего банка, следствием чего стало начисление комиссии в размере двух с лишним тысяч рублей"
608,"В Нижегородском отделении Банка Зенит обсуживаюсь с 2017 года и всегда был доволен обслуживанием в данном банке, так как все менеджеры банка компетентны, приветливы и всегда рады помочь"
609,"25.09 через лк М-видео былоформлен товар в рассрочку в банке хоум кредит банк , 05.10 товар поступил в магазин, но было принято решение ,об отмене заказа "
610,"Добрый день, хочу сказать что совершенно не обладают информацией операторы чата"
611,У меня кредит в этом банке России
612,В банке Я открыл Накопительный счет Промо со ставкой 22% на 3 месяца
613,Кто бы знал что будет такая ситуация в жизни бы этот банк не открыл
614,Первое посещение
615,"Уже 2 день не могу воспользоваться ни Интернетбанком,ни мобильным приложением.Сервер не работает,не могу пополнить карту.,поэтому не могу ни поесть,ни заправить машину.Второй день по горячей линии один ответ:Наши специалисты работают…Отвратильно..."
616,Это просто позорище! Пока все нормальные банки чинят свои системы за пару тройку часов ГПБ не может с этим справиться в течении НЕДЕЛИ
617,Открывала доп карты к счету
618,"Хочу выразить благодарность сотруднику ДО Новогиреево С-ой Наталье за качественное обслуживание , получененную полноценную информацию , и грамотное и вежливое обслуживание"
619,Приложение сбербанка
620,Мною 05.11.2021 проводилась интеграция в приложение CoinKeeper и Сбер заблокировал мне доступ к онлайн банку
621,Являюсь клиентом АБ уже не один год
622,Являюсь премиум клиентом
623,"24 августа 2021 года обратилась в отделение Райффайзенбанка для перевода денежных средств по реквизитам - первоначально по талончику меня приняла Мария операционист, когда сотрудник громко начала определять знаю ли я о том, что к карте всегда..."
624,"Дорогой Банк Тинькофф, обратился для того чтоб получить небольшой кредит т.к"
625,Иван Т-ов
626,"Недавно обнаружила, что у меня после поездки за границу осталось  200 долларов и решила, что их стоит обменять"
627,Доброго дня! Больше трёх лет являлся зарплатным клиентом «Газпромбанка»
628,"Предыстория короткая, так получилось, что после довольно продолжительного обслуживания мне пришлось закрыть  свою дебетовую карту в банке хоум кредит"
629,Мы с супругом являемся постоянными клиентами Кантемировского отделения МКБ банка
630,Добрый день! Пытаюсь сформулировать обращение без мата - с трудом получается
631,"Карты выдавали на старой работе еще как зарплатную, не пользовался больше года, и тут вдруг по ошибке человек мне зачислил туда 7000"
632,Сообщение для клиентов Сбербанка - бойтесь банкоматов Сбербанка
633,Тинькоф по истине уникальный банк: был приятно удивлён скоростью ответа в поддержке приложения
634,"Имелась солидарная задолженность по исполнительному производству, как только у меня появилась возможность я сразу оплатила всю сумму долга, выставленную мне судебными приставами"
635,Здравствуйте! Выиграли квартиру на торгах по арестованному имуществу
636,"Не удалось открыть счет, оформить карту, воспользоваться промокодом banki.ru"
637,Во-первых спс банку за доверие
638,"Не все знают, что с банками можно договориться"
639,"МТС Банк сверхнавязчиво, на протяжении нескольких месяцев, предлагал оформить их кредитную карту МТС Weekend по разным каналам: всплывающая реклама в мобильном банке (удалял, снова появлялась), смс, электронные письма, звонки от сотрудников"
640,20.10.2021 на сумму в размере 10 000 рублей был пополнен кошелёк ЮMoney с банковской карты МТС банка
641,Никогда не обращался в Совкомбанк
642,У меня подписка Халва
643,Банк не рекомендую! Добрый день
644,"Здравствуйте! По техническим причинам слетело приложение Телекард 2.0 при входе ввожу логин, пароль не удаётся войти"
645,14.06.2022 в 11.55 в интернет-банке Тинькофф я оформила долларовый перевод на свой счет в Сбере
646,В конце июля начале августа два раза подряд деньги отправились не на тот счёт
647,Никогда не было проблем со сбером вот началось! Заблокировали Сбербанк онлайн! Сделала новую карту! Сидела без денег 2 недели! Попёрлась в пандемию в город для того чтобы получить эту карту
648,"Долго выбирала банки на предмет потребительского кредита (запланирована дорогостоящая покупка), увидела предложение от Альфа банк - карта год без %, подала заявку с сайта, карту одобрили, поехала в отделение, лимит дали не тот, что просила, но..."
649,"Добрый день! Решила стать клиентом ВТБ, скачала приложение ВТБ онлайн, открыла мультикарту"
650,"Нужно было оплатить инвойс в Корею.Посоветовали мне этот банк.Приехал в офис на Марксисткую 23 сентября в 15:00.Вышел из банка в 20:05.Четыре часа тупо сидел в очереди,работают всего два окошка,при таком количестве народа,просто жесть.В итоге..."
651,"Заказала карту, привез курьер 10.05.22 (хотя договор был на другое число), но и , собственно, все..."
652,"Обратилась впервые на днях в данное отделение банка по вопросу размещения средств по вкладу и открытия банковской ячейки, благодарю сотрудника Д-ко Никиту за профессиональную консультацию, получила ответы на все необходимые вопросы, также..."
653,"❤️ Всегда ценил Тиньк за стремление быть первым в технологиях; за стремление к грамотному обслуживанию, за стремление сложное сделать простым"
654,"Комиссии на услуги, которые я использую, отсутствуют вообще: большой контраст со сбером"
655,Не могу добиться Запрета в Банке Присылать Мне Периодически Предложения Кредита по СМС
656,"Являюсь клиентом банка 3-из год, при оформлении налогового вычета ВТБ онлайн, возникает техническая ошибка! Менеджер не может мне помочь, на горячей линии тоже нет ответа, регистрирую обращение в письменном виде, ответа не получаю (просто закрывают..."
657,В Совкомбанке у меня был открыт двулетний вклад (с 03.09.2020 до 03.09.2022)
658,30.11.2020мной был открыт текущий счёт №4******4 в «Икано Банк» (общество с ограниченной ответственностью «ИКАНО БАНК» ) в связи оформлением кредита в банке
659,"Хочу во второй раз отметить Ш-р Екатерину,  представителя Россельхозбанка в Мурманске (я так доволен оперативным и профессиональным решением своих вопросов этим сотрудником, что написал полностью название банка, не сокращая названия!)) жизнь..."
660,"Добрый день! У жены был дед, у деда были счета/вклады, дед умер, в день смерти и на следующий день после смерти, человеком, являющимся 2й женой деда моей жены, по доверенности, денежные средства со вклада деда были сняты/переведены, а вклад..."
661,"Два месяца не могли зачислить пенсию на карту МИР (очередное  обращение №210819-0811-929200, ответ 03.09.2021), оформленную 26.06.2021"
662,Сотрудничаю с этим банком уже полтора года
663,"Добрый день! Давно являюсь клиентом банка , никогда не возникало вопросов к обслуживанию и сервису,все было прекрасно , но так как приходится пользоваться круглосуточными банкоматом по адресу г"
664,Взаимодействие с банком заключалось в оформлении дебетовой карты по реферальной ссылке
665,"ЗдравствуйТЕ, Газпромбанк.."
666,"Воспользовался сегодня банкоматом банка в городе Подольск, в тц галерея"
667,"Кредитная карта уже есть, понадобилась наличка - кредит"
668,Отзыв по прошествии очередного года обслуживания
669,"Уже не в первый раз обращаюсь на Фрунзе 52 к менеджеру Л-ц Наталье Игоревне, проблемы одни и те-же, судебный пристава"
670,"31-го декабря получил в подарок две акции Яндекса через усиленно рекламируемый сервис ""подари акцию"", который анонсирует замечательную простоту и удобство: мол, нажми две кнопки и акции уже на счете ""одаряемого"""
671,22.02 в 09:20 выполнил перевод из Сбербанка в АО Банк Финам
672,Привет Фёдору
673,"Вчера в кабинете налоговой обнаружила, что у меня есть доход от банковского вклада в Кредит Европа Банке"
674,Заявление на закрытие счета Единой Карты Петербуржца было подано в конце мая
675,Являюсь постоянным и стабильным пользователем банка больше 5ти лет
676,Уже несколько месяцев пытаюсь защитить свои персональные данные и киви в этом мне препятствует
677,"Добрый день, хочу поделиться своей проблемой с этим банком, который прикрывается интернациональностью и миллионами клиентов по всему миру"
678,не в первый раз обращалась в отделение банка в офис Белорусский
679,Я являюсь клиентом банка
680,"Являюсь премиум-клиентом не первый год, задача - снять на 2-3 мес все средства, перейти с премиума на обычное обслуживание (чтобы не платить комиссии), заказать обычную кешбек Яндекс карту, закрыть премиум карты"
681,"Не работает целый день ни приложение, ни сайт enter.unicredit.ru"
682,При попытке изменить номер телефона через мобильное приложение - пишет ошибку
683,Являемся с мужем постоянными клиентами банка
684,"Более не клиентоориентированного, непрофессионального и просто бесчеловечного отношения не встречал ни в какой другой организации"
685,"Добрый день!  Являюсь клиентом банка несколько лет, однако всегда сталкиваюсь с различными проблемами и понимаю, что банк является совершенно неклиентоортентированным"
686,"Я уже не первый, кто сталкивается с подобной ситуацией"
687,"Здравствуйте, я хочу рассказать про сервис и доставку карт и сим-карт Тинькофф"
688,"Сообщаю, что 31 августа 2022г"
689,"Добрый день ! Обратился в Россельхозбанк по адресу :Архитектора Щусева д2 ,к3 Для выпуска дебетовой карты ,сотрудники грамотные ,офис чистый! Вышел из офиса с позитивом и хорошим настроением.Спасибо сотрудникам за понимание и труд! Так же ..."
690,Здравствуйте! Неоднократно сталкивался со сложностями или ошибками при знакомстве с мобильным приложением и участием в промо-акциях компании
691,"Можно понять все, времена для банковской системы непростые, но действия банка в непростые времена очень показательны"
692,Мое Обращение 10647745 так и не было решено
693,Качество обслуживания - отрицательное
694,Без долгих лирических отступлений перейду к делу
695,Являюсь клиентом Сбербанка приблизительно 12лет
696,Временный порядок операции с наличной валютой ЦБ от 09.03.2022г
697,"Пришли странные копейки на карту, которая давно заблокирована"
698,Сильно расстроена данной ситуацией и разочарована в банке Тинькофф
699,"Добрый день! Очень понравилась такая услуга, как переоформление вклада по телефону при наличии Приложения ""Халва-Совкомбанк"""
700,"6 марта 2022 года пытался через приложение и через сайт заказать физическую карту Мир к своему рублевому счету, но не смог из-за какого-то бага"
701,31.22 заканчивается пользование картой 
702,"Никогда бы не подумал , что Тинькоф может списать деньги , а конкретно 15.000 , делал перевод в один магазин через qr код , на стадии перевода возникла ошибка со стороны банка, вылезла ошибка , но деньги с карты исчезли так и не вернули… мурыжат не..."
703,Плностью доволен работой банка
704,"Добрый день, сегодня с номера +7800533****25 мне поступил звонок, где хотели рассказать о предложении( видимо кредитная карта), предложение я не послушала,так как у меня к оператору был единственный вопрос:""откуда мой номер?"", на что сотрудник..."
